driver_id,total_fare,avg_distance
51,27.81,1.84
7,260.45,17.502499999999998
15,220.01,23.333333333333332
11,312.21999999999997,31.9075
29,20.88,28.98
42,143.01,36.87
73,116.29,33.98333333333333
64,78.6,45.66
3,119.42,2.77
34,71.55,25.314999999999998
59,64.9,5.98
8,333.17,19.6375
28,238.92,15.979999999999999
22,143.58,30.82
85,115.72999999999999,32.126666666666665
16,228.07,25.883333333333336
35,63.05,24.41
71,199.37,16.396666666666665
98,323.43,28.436
47,254.51,13.979999999999999
96,159.81,25.395
43,26.41,45.27
5,201.69,28.58
18,54.69,31.27
70,174.62,48.595
27,146.51000000000002,19.56
61,88.56,25.84
75,163.61,20.845
17,13.83,12.6
26,67.63,44.88
46,337.11,30.17
78,315.05999999999995,20.169999999999998
77,71.4,12.89
89,34.769999999999996,42.72
6,230.26000000000002,38.6375
60,178.04999999999998,32.985
68,100.3,38.62
90,20.28,13.11
23,18.14,6.14
41,85.11,18.97
55,291.94,31.042500000000004
93,82.28,7.64
95,157.13,30.085
40,126.67,46.7
25,151.94,19.925
44,217.78,33.77333333333333
82,236.86,28.26
53,108.59,29.72
92,108.74,9.71
86,153.7,37.379999999999995
58,128.84,18.36
33,211.02,1.795
48,164.07999999999998,26.12
97,431.18999999999994,27.654000000000003
67,102.18,14.27
84,102.37,7.06
79,121.45000000000002,7.855
24,167.59,16.29
9,6.62,13.99
88,320.03,18.8175
1,304.65,42.169999999999995
56,65.19,25.605
36,314.32,21.36
37,260.07,25.793333333333333
49,79.11,41.21
63,52.11,24.535
4,141.62,37.46333333333333
62,138.98000000000002,25.485
12,132.69,30.895000000000003
83,317.75,30.243333333333336
13,127.02,19.27
21,79.3,14.0
66,285.03999999999996,13.483333333333334
91,106.02,2.03
94,139.56,35.73
72,58.99,43.68
74,215.89,28.045
76,111.69,49.8
2,140.54,34.21
80,301.88,34.0225
45,149.78,28.455
57,121.78,35.435
